timestamp,volume,open,low,high,close,t_plus,longs,shorts,entry,returns,holding,direction
2021-12-20 07:00:00,175.64309479,46570.0,46126.5,46570.0,46370.5,46374.5,0,0,0,0.0,0,0
2021-12-20 07:30:00,128.9720426,46374.5,46332.0,46563.5,46432.5,46447.0,0,0,0,0.0,0,0
2021-12-20 08:00:00,81.70895861,46447.0,46323.0,46571.0,46524.0,46518.5,0,0,0,0.0,0,0
2021-12-20 08:30:00,124.90485333,46518.5,46154.5,46526.0,46292.5,46275.0,0,0,0,0.0,0,0
2021-12-20 09:00:00,392.51167087,46275.0,45864.5,46322.0,46052.5,46067.5,0,0,0,0.0,0,0
2021-12-20 09:30:00,198.87361135,46067.5,45835.5,46093.5,45854.5,45855.5,0,-1,-1,0.0,0,0
2021-12-20 10:00:00,180.05695624999998,45855.5,45800.0,46173.5,45943.0,45942.5,0,-1,-1,0.0,0,0
2021-12-20 10:30:00,88.02423911,45942.5,45837.0,46021.5,45885.0,45899.5,0,0,0,0.0,0,0
2021-12-20 11:00:00,145.05333248,45899.5,45836.5,46150.0,46132.5,46149.0,0,0,0,0.0,0,0
2021-12-20 11:30:00,176.96517418000002,46149.0,46018.0,46165.5,46122.0,46099.0,0,0,0,0.0,0,0
2021-12-20 12:00:00,142.42210283,46099.0,45719.5,46118.5,45889.0,45895.5,0,0,0,0.0,0,0
2021-12-20 12:30:00,150.70854081,45895.5,45659.5,45948.0,45770.0,45770.0,0,0,0,0.0,0,0
2021-12-20 13:00:00,170.41410155,45770.0,45611.0,46019.5,45933.5,45912.5,0,-1,-1,0.0,0,0
2021-12-20 13:30:00,69.5512848,45912.5,45710.0,45977.5,45719.5,45740.0,0,0,0,0.0,0,0
2021-12-20 14:00:00,246.9685709,45740.0,45590.5,45953.0,45750.0,45746.5,0,0,0,0.0,0,0
2021-12-20 14:30:00,712.54775509,45746.5,45611.5,46377.5,46348.5,46351.5,0,0,0,0.0,0,0
2021-12-20 15:00:00,214.74691396,46351.5,46039.0,46351.5,46255.5,46237.0,0,0,0,0.0,0,0
2021-12-20 15:30:00,114.39059323000001,46237.0,45939.5,46237.0,46003.0,46005.0,0,0,0,0.0,0,0
2021-12-20 16:00:00,91.23582919,46005.0,45896.5,46254.5,46154.5,46144.0,0,0,0,0.0,0,0
2021-12-20 16:30:00,209.21119679,46144.0,46125.0,46526.5,46429.0,46433.0,0,0,0,0.0,0,0
2021-12-20 17:00:00,144.80090836,46433.0,46282.5,46530.0,46308.0,46296.0,0,0,0,0.0,0,0
2021-12-20 17:30:00,114.61006173,46296.0,46120.5,46370.0,46146.0,46140.5,0,0,0,0.0,0,0
2021-12-20 18:00:00,104.04822908,46140.5,46088.5,46281.0,46145.5,46154.5,0,0,0,0.0,0,0
2021-12-20 18:30:00,95.53888878,46154.5,46060.0,46363.5,46295.0,46294.5,0,-1,-1,0.0,0,0
2021-12-20 19:00:00,160.07140334,46294.5,46264.5,46631.5,46522.0,46517.5,0,0,0,0.0,0,0
2021-12-20 19:30:00,158.19526687,46517.5,46422.5,46726.0,46612.5,46618.5,1,0,1,0.0,0,0
2021-12-20 20:00:00,244.81619376,46618.5,46618.5,47010.5,46816.5,46817.0,1,0,1,0.0,0,0
2021-12-20 20:30:00,379.7242561,46817.0,46703.0,47287.0,47065.5,47065.5,0,0,0,0.0,0,0
2021-12-20 21:00:00,387.06609187000004,47065.5,47044.0,47576.5,47333.5,47316.0,1,0,1,-0.03223168431267798,22,-1
2021-12-20 21:30:00,133.65848223,47316.0,47004.0,47352.5,47018.5,47018.5,0,0,0,0.0,0,0
2021-12-20 22:00:00,184.14251106,47018.5,46831.0,47139.5,46876.5,46887.0,0,0,0,0.0,0,0
2021-12-20 22:30:00,66.8828027,46887.0,46729.5,47002.0,46786.0,46788.0,0,-1,-1,0.0,0,0
2021-12-20 23:00:00,88.59236706,46788.0,46782.0,47061.5,47023.0,47023.5,0,0,0,0.0,0,0
2021-12-20 23:30:00,109.06071556,47023.5,46882.0,47126.0,46915.0,46933.5,0,0,0,0.0,0,0
2021-12-21 00:00:00,172.56323028,46933.5,46883.5,47104.5,47081.5,47084.5,0,0,0,0.0,0,0
2021-12-21 00:30:00,99.83200506,47084.5,46791.0,47084.5,46805.0,46823.0,0,0,0,0.0,0,0
2021-12-21 01:00:00,148.7906279,46823.0,46666.0,46916.5,46762.0,46769.5,0,0,0,0.0,0,0
2021-12-21 01:30:00,108.23011575,46769.5,46767.5,47030.5,46978.5,46977.5,0,0,0,0.0,0,0
2021-12-21 02:00:00,67.20331352,46977.5,46909.0,47103.5,46954.5,46945.5,0,0,0,0.0,0,0
2021-12-21 02:30:00,60.15177106,46945.5,46910.5,47090.5,46989.5,46984.0,0,0,0,0.0,0,0
2021-12-21 03:00:00,102.28746622,46984.0,46949.5,47346.5,47302.5,47310.0,0,0,0,0.0,0,0
2021-12-21 03:30:00,905.26152164,47310.0,47254.5,48139.5,47983.5,47981.0,0,0,0,0.0,0,0
2021-12-21 04:00:00,940.23826293,47981.0,47981.0,48799.5,48692.0,48699.5,1,0,1,-0.040694195092758845,10,-1
2021-12-21 04:30:00,269.25986031,48699.5,48560.5,48850.0,48612.5,48603.5,1,0,1,0.0,0,0
