timestamp,volume,open,low,high,close,t_plus,preds,pdelta,longs,shorts,entry,returns,holding,direction
2022-01-01 06:00:00,188.9825969,47224.0,46980.0,47362.5,47021.0,47015.0,45112.4132093916,-0.04059009358815002,0,-1,-1,0.0,0,0
2022-01-01 07:00:00,249.66845109,47015.0,46920.0,47290.0,47255.0,47232.5,45109.45715607715,-0.045403509552911836,0,-1,-1,0.0,0,0
2022-01-01 08:00:00,157.18594249,47232.5,47122.0,47365.0,47130.0,47134.5,45105.625616868856,-0.04295298924530333,0,-1,-1,0.0,0,0
2022-01-01 09:00:00,121.56728112,47134.5,46960.0,47234.5,47161.5,47170.0,45109.57537013318,-0.04350846834529909,0,-1,-1,0.0,0,0
2022-01-01 10:00:00,276.89610334,47170.0,46760.0,47315.0,46905.0,46900.0,45106.620956706,-0.03834088142615921,0,-1,-1,0.0,0,0
2022-01-01 11:00:00,106.87624689,46900.0,46777.0,47020.0,46777.0,46787.5,45098.66137589831,-0.03587956953420901,0,-1,-1,0.0,0,0
2022-01-01 12:00:00,92.47131334,46787.5,46784.0,47161.0,47115.0,47115.5,45107.688204087375,-0.04260451652154573,0,-1,-1,0.0,0,0
2022-01-01 13:00:00,94.2557848,47115.5,46965.0,47219.0,47048.5,47054.0,45116.99241650915,-0.04105354227001601,0,-1,-1,0.0,0,0
2022-01-01 14:00:00,132.60641247,47054.0,46882.5,47133.5,46958.5,46946.5,45117.974613871345,-0.039194722704700036,0,-1,-1,0.0,0,0
2022-01-01 15:00:00,338.62743715,46946.5,46904.0,47510.5,47247.5,47243.5,45134.12632216202,-0.04472985190407919,0,-1,-1,0.0,0,0
2022-01-01 16:00:00,210.63919557,47243.5,47214.0,47566.5,47291.0,47290.5,45148.48147656351,-0.04530499510343389,0,-1,-1,0.0,0,0
2022-01-01 17:00:00,486.71824408,47290.5,47270.0,47974.0,47778.5,47797.5,45183.56969478086,-0.05431167376998314,0,-1,-1,0.0,0,0
2022-01-01 18:00:00,183.79882762,47797.5,47461.0,47867.5,47589.0,47621.0,45212.20639303724,-0.049944180524128745,0,-1,-1,0.0,0,0
2022-01-01 19:00:00,142.54978267,47621.0,47313.0,47647.5,47351.0,47351.0,45230.901767117684,-0.04477409627848017,0,-1,-1,-0.0071466553227692575,12,-1
2022-01-01 20:00:00,104.49975257999999,47351.0,47281.5,47586.0,47447.0,47433.0,45248.96920050012,-0.04632602270954711,0,-1,-1,0.0,0,0
